alpha avg.wait
0.000 6.43750
0.020 7.25000
0.040 7.25000
0.060 7.25000
0.080 7.25000
0.100 7.25000
0.120 7.25000
0.140 7.25000
0.160 7.25000
0.180 7.25000
0.200 7.25000
0.220 7.25000
0.240 7.25000
0.260 7.25000
0.280 7.37500
0.300 7.43750
0.320 7.43750
0.340 7.43750
0.360 7.43750
0.380 7.43750
0.400 7.43750
0.420 7.43750
0.440 7.43750
0.460 7.43750
0.480 7.43750
0.500 7.12500
0.520 7.12500
0.540 7.12500
0.560 7.12500
0.580 7.12500
0.600 7.12500
0.620 7.12500
0.640 7.12500
0.660 7.12500
0.680 7.12500
0.700 7.12500
0.720 7.12500
0.740 7.12500
0.760 7.12500
0.780 7.12500
0.800 7.12500
0.820 7.12500
0.840 7.12500
0.860 7.12500
0.880 7.12500
0.900 7.12500
0.920 7.12500
0.940 7.12500
0.960 7.12500
0.980 7.12500
1.000 7.12500
